year,month,precip,temp
1971,9,9.976666641,5.204133415
1971,10,11.10748394,6.236774216
1971,11,5.669466591,8.626866684
1971,12,5.247354908,10.70522583
1972,1,4.250064373,12.93974167
1972,2,3.080413742,15.41510376
1972,3,4.346580648,10.8049033
1972,4,6.382666759,9.725066605
1972,5,5.620516224,7.113225784
1972,6,5.093199959,5.080733471
1972,7,15.99290318,3.552193546
1972,8,8.894064369,4.931354904
1972,9,11.03093319,7.04326683
1972,10,5.482580776,7.82703228
1972,11,4.746533508,9.467199936
1972,12,5.897677345,10.23316151
1973,1,6.378709602,12.27632217
1973,2,4.945428543,13.29714294
1973,3,7.341419315,9.441871223
1973,4,9.115999794,9.489799881
1973,5,16.93909637,7.383096886
1973,6,7.885199986,3.40600008
1973,7,5.540515995,4.721935596
1973,8,7.980387096,4.562258129
1973,9,11.09066635,6.41913353
1973,10,5.60270977,8.760709496
1973,11,4.831066494,8.851666298
1973,12,6.710580711,12.35535503
1974,1,2.5343225,14.26819328
1974,2,4.216571465,12.80071396
1974,3,2.439741931,13.45251637
1974,4,6.142933235,9.304799881
1974,5,2.941548376,7.417742004
1974,6,7.291466579,5.630400066
1974,7,11.69238728,3.936838665
1974,8,11.69509686,4.309741783
1974,9,14.22613308,5.083333321
1974,10,5.495354958,7.865548515
1974,11,4.031599836,8.225200081
1974,12,12.1206451,9.761548462
1975,1,8.273935509,10.65458076
1975,2,1.514142904,13.32657116
1975,3,7.742838745,10.22167717
1975,4,6.330133247,8.184399948
1975,5,20.64374207,6.736967659
1975,6,7.843066635,4.713933392
1975,7,13.19470959,4.925871086
1975,8,11.49122566,4.425354805
1975,9,8.168400269,6.565799866
1975,10,6.170322552,7.684129143
1975,11,10.88293369,10.26839989
1975,12,3.422064505,12.15380634
1976,1,4.820257969,12.53290333
1976,2,1.586482773,13.4789653
1976,3,4.647613039,11.14980659
1976,4,8.455999947,8.718533363
1976,5,12.59187069,6.604903107
1976,6,7.547333317,4.828533173
1976,7,7.452258224,4.061612968
1976,8,9.574322739,4.026387157
1976,9,3.987066593,5.83406662
1976,10,5.167483826,6.209161301
1976,11,5.681199989,9.295533218
1976,12,12.35341961,9.849096642
1977,1,5.494322491,12.78412876
1977,2,3.316428604,12.92478558
1977,3,6.975613098,11.72793526
1977,4,8.499599743,7.749533272
1977,5,11.06864498,6.057871056
1977,6,6.904666748,4.727533226
1977,7,8.751613026,4.023290329
1977,8,8.275096569,5.45406456
1977,9,3.030933294,5.323866653
1977,10,7.959612961,8.36780632
1977,11,8.961066685,8.549733238
1977,12,7.065677547,9.879613113
1978,1,3.329677391,11.62619362
1978,2,6.239571342,11.8101429
1978,3,3.032257986,11.3032259
1978,4,7.025733395,8.531066437
1978,5,6.87367754,7.853677559
1978,6,1.674533334,4.43546669
1978,7,14.83948391,3.427999916
1978,8,11.76232246,3.96593544
1978,9,5.169599934,6.773000069
1978,10,7.172774124,8.018258018
1978,11,8.844133358,9.54000042
1978,12,6.423096828,10.64109688
1979,1,4.684129162,13.54870945
1979,2,6.749285851,13.31485733
1979,3,3.78554841,11.73154812
1979,4,7.44613327,7.965733299
1979,5,7.440386944,5.752322731
1979,6,6.42106657,6.31806675
1979,7,10.85793556,4.70109663
1979,8,12.63703209,4.371741867
1979,9,11.63586643,5.616000023
1979,10,6.060903225,8.214709625
1979,11,4.7349335,9.746399956
1979,12,11.36167736,10.36122578
1980,1,4.414580631,11.01722591
1980,2,5.101931038,11.32675869
1980,3,5.676387215,9.891806641
1980,4,6.534799919,10.27920021
1980,5,7.727871151,8.657161064
1980,6,6.15973341,5.943733292
1980,7,9.450193405,4.630000114
1980,8,12.47754829,6.02864502
1980,9,20.25546631,6.516466599
1980,10,6.508903255,8.306903114
1980,11,4.819866657,9.95219986
1980,12,1.544387136,12.47606472
1981,1,2.134967742,15.353097
1981,2,2.393857141,14.70121429
1981,3,6.024257927,10.94412891
1981,4,11.26093342,9.460933266
1981,5,5.101677437,7.154257965
1981,6,5.703733139,5.406866837
1981,7,10.53483887,4.106709709
1981,8,10.95393536,4.532387123
1981,9,8.332399731,6.890800095
1981,10,7.186580582,8.274387016
1981,11,7.402266674,9.585266495
1981,12,3.36541934,11.39961311
1982,1,4.858064461,13.42470993
1982,2,2.969571466,12.95814304
1982,3,6.277161293,12.25612919
1982,4,4.68973341,8.916733208
1982,5,14.36219345,6.858774223
1982,6,5.091599922,4.505866604
1982,7,5.380903244,3.511612892
1982,8,5.325161362,6.81864502
1982,9,9.079333115,5.447599945
1982,10,7.111354752,7.249032135
1982,11,7.234400024,10.25799995
1982,12,3.658580599,11.12812916
1983,1,6.663225842,10.40651623
1983,2,1.521285715,14.6421431
1983,3,3.820258045,11.24606449
1983,4,5.875866566,8.169466782
1983,5,8.07161314,7.425032234
1983,6,11.11960014,4.438399982
1983,7,4.474322491,4.350387001
1983,8,7.478322582,6.47180645
1983,9,10.35039989,5.563533192
1983,10,4.268257952,8.070129089
1983,11,8.009999771,9.302733383
1983,12,2.487741923,11.80070953
1984,1,4.821419334,11.77903233
1984,2,2.901379318,11.89820663
1984,3,5.778967762,10.60019337
1984,4,6.945199966,8.804799843
1984,5,6.837935638,7.443483925
1984,6,8.629200325,5.869466515
1984,7,6.581419182,4.206258106
